ア→???→???→ソ,アラブルタケケムッソ
ヘ→???→???→ゲ,ヘルガーガマゲロゲ
ヘ→???→???→ゾ,ヘイガニニョロゾ
ヘ→???→???→ダ,ヘラクロスストリンダー
ヘ→???→???→テ,ヘイガニニャローテ
ヘ→???→???→デ,ヘイラッシャヤクデ
ヘ→???→???→ニ,ヘルガーガケガニ
ヘ→???→???→ハ,ヘイガニニャオハ
ヘ→???→???→ピ,ヘラクロススコルピ
ヘ→???→???→ム,ヘイラッシャヤンチャム
ヘ→???→???→メ,ヘラクロススバメ
ヘ→???→???→モ,ヘイガニニョロモ
ヘ→???→???→リ,ヘイラッシャヤトウモリ
ヘ→???→???→ワ,ヘラクロススナノケガワ
ベ→???→???→ウ,ベイリーフフシギソウ
ベ→???→???→エ,ベイリーフフェローチェ
ベ→???→???→ガ,ベロベルトトドゼルガ
ベ→???→???→グ,ベロバーバクオング
ベ→???→???→ケ,ベトベタータマゲタケ
ベ→???→???→ゲ,ベロリンガガマゲロゲ
ベ→???→???→ザ,ベイリーフフリーザー
ベ→???→???→シ,ベトベタータマザラシ
ベ→???→???→ジ,ベベノムムウマージ
ベ→???→???→タ,ベトベタータマンタ
ベ→???→???→デ,ベイリーフフシデ
ベ→???→???→ビ,ベラカススナヘビ
ベ→???→???→ブ,ベロバーバネブー
ベ→???→???→ベ,ベイリーフフラベベ
ベ→???→???→ボ,ベトベタータネボー
ベ→???→???→メ,ベラカススバメ
ベ→???→???→モ,ベロバーバシャーモ
ベ→???→???→ワ,ベラカススナノケガワ
ペ→???→???→エ,ペロッパフフェローチェ
ペ→???→???→オ,ペロッパフフリージオ
ペ→???→???→ガ,ペラッププロトーガ
ペ→???→???→キ,ペンドラーラッキー
ペ→???→???→ク,ペロリームムクホーク
ペ→???→???→コ,ペロッパフフォッコ
ペ→???→???→ザ,ペロッパフフリーザー
ペ→???→???→タ,ペンドラーラッタ
ペ→???→???→チ,ペリッパーパピモッチ
ペ→???→???→デ,ペロッパフフシデ
ペ→???→???→パ,ペロッパフフーパ
ペ→???→???→ベ,ペロッパフフラベベ
ペ→???→???→マ,ペロリームムウマ
ペ→???→???→モ,ペリッパーパモ
ペ→???→???→ヤ,ペロッパフファイヤー
ホ→???→???→ガ,ホーホーホイーガ
ホ→???→???→キ,ホウオウウソッキー
ホ→???→???→ケ,ホゲータタマゲタケ
ホ→???→???→ズ,ホルードドリュウズ
ホ→???→???→デ,ホルードドヒドイデ
ホ→???→???→ネ,ホゲータタブンネ
ホ→???→???→バ,ホルビービブラーバ
ホ→???→???→ヒ,ホエルココアルヒー
ホ→???→???→ピ,ホシガリススコルピ
ホ→???→???→ボ,ホゲータタネボー
ホ→???→???→ポ,ホエルココオリッポ
ホ→???→???→ヤ,ホルードドラメシヤ
ホ→???→???→ヨ,ホエルオーオリーニョ
ホ→???→???→レ,ホエルココレクレー
ホ→???→???→ワ,ホシガリススナノケガワ
ボ→???→???→オ,ボーマンダダグトリオ
ボ→???→???→カ,ボーマンダダルマッカ
ボ→???→???→グ,ボーマンダダーテング
ボ→???→???→コ,ボチチョロネコ
ボ→???→???→ゴ,ボクレーレジドラゴ
ボ→???→???→ザ,ボクレーレックウザ
ボ→???→???→シ,ボクレーレドームシ
ボ→???→???→ジ,ボスゴドララグラージ
ボ→???→???→ズ,ボーマンダダイノーズ
ボ→???→???→ダ,ボルトロスストリンダー
ボ→???→???→チ,ボチチョンチー
ボ→???→???→ド,ボスゴドララムパルド
ボ→???→???→ナ,ボルトロススワンナ
ボ→???→???→ノ,ボチチラチーノ
ボ→???→???→バ,ボクレーレディバ
ボ→???→???→パ,ボルトロススリーパー
ボ→???→???→ビ,ボルトロススナヘビ
ボ→???→???→ピ,ボルトロススコルピ
ボ→???→???→ブ,ボチチャオブー
ボ→???→???→ボ,ボチチェリンボ
ボ→???→???→マ,ボーマンダダクマ
ボ→???→???→メ,ボルトロススバメ
ボ→???→???→ロ,ボーマンダダンゴロ
ボ→???→???→ワ,ボルトロススナノケガワ
ポ→???→???→2,ポッポポリゴン2
ポ→???→???→Z,ポッポポリゴンZ
ポ→???→???→ウ,ポッチャマママンボウ
ポ→???→???→オ,ポポッココジオ
ポ→???→???→ガ,ポッタイシシザリガー
ポ→???→???→ケ,ポニータタマゲタケ
ポ→???→???→サ,ポチエナナゾノクサ
ポ→???→???→ズ,ポッタイシシャワーズ
ポ→???→???→チ,ポッチャママラカッチ
ポ→???→???→デ,ポッチャママルヤクデ
ポ→???→???→ニ,ポッチャママケンカニ
ポ→???→???→バ,ポカブブーバー
ポ→???→???→ヒ,ポポッココアルヒー
ポ→???→???→ビ,ポットデススナヘビ
ポ→???→???→ピ,ポットデススコルピ
ポ→???→???→ブ,ポッポポカブ
ポ→???→???→ボ,ポニータタネボー
ポ→???→???→ポ,ポポッココオリッポ
ポ→???→???→メ,ポットデススバメ
ポ→???→???→モ,ポッタイシシズクモ
ポ→???→???→ヤ,ポッチャママスカーニャ
ポ→???→???→ヨ,ポッチャママッギョ
ポ→???→???→レ,ポポッココレクレー
ポ→???→???→ロ,ポチエナナマケロ
ポ→???→???→ワ,ポットデススナノケガワ
マ→???→???→♀,マケンカニニドラン♀
マ→???→???→♂,マケンカニニドラン♂
マ→???→???→エ,マフィティフフェローチェ
マ→???→???→ザ,マフィティフフリーザー
マ→???→???→ゼ,マナフィイルミーゼ
マ→???→???→ゾ,マケンカニニョロゾ
マ→???→???→ヌ,マナフィイイネイヌ
マ→???→???→ハ,マケンカニニャオハ
マ→???→???→バ,マナフィイダイナキバ
ミ→???→???→♀,ミツハニーニドラン♀
ミ→???→???→♂,ミツハニーニドラン♂
ミ→???→???→カ,ミミズズズピカ
ミ→???→???→ゲ,ミネズミミカルゲ
ミ→???→???→サ,ミネズミミガルーサ
ミ→???→???→ズ,ミネズミミミズズ
ミ→???→???→ゾ,ミツハニーニョロゾ
ミ→???→???→ツ,ミネズミミュウツー
ミ→???→???→テ,ミツハニーニャローテ
ミ→???→???→デ,ミュウツーツンデツンデ
ミ→???→???→ニ,ミネズミミツハニー
ミ→???→???→ハ,ミツハニーニャオハ
ミ→???→???→バ,ミニーブブーバー
ミ→???→???→ピ,ミロカロススコルピ
ミ→???→???→ポ,ミガルーササケブシッポ
ミ→???→???→メ,ミロカロススバメ
ミ→???→???→ワ,ミロカロススナノケガワ
ム→???→???→ウ,ムウマママンボウ
ム→???→???→ガ,ムウマージジャラランガ
ム→???→???→ダ,ムウマージジャローダ
ム→???→???→ニ,ムウママケンカニ
ム→???→???→ビ,ムウマージジャノビー
ム→???→???→フ,ムウママフィティフ
ム→???→???→ブ,ムクホーククラブ
ム→???→???→プ,ムウママホイップ
ム→???→???→ミ,ムウママダツボミ
ム→???→???→モ,ムクホーククズモー
ム→???→???→ユ,ムクホーククルマユ
ム→???→???→ヨ,ムウママッギョ
メ→???→???→ケ,メロエッタタマゲタケ
メ→???→???→ゲ,メテノノノクラゲ
メ→???→???→テ,メブキジカカメテテ
メ→???→???→デ,メガヤンママルヤクデ
メ→???→???→ヒ,メグロココアルヒー
メ→???→???→ビ,メタグロススナヘビ
メ→???→???→ピ,メタグロススコルピ
メ→???→???→ブ,メラルババネブー
メ→???→???→ボ,メロエッタタネボー
メ→???→???→ポ,メグロココオリッポ
メ→???→???→ワ,メタグロススナノケガワ
モ→???→???→カ,モノズズピカ
モ→???→???→コ,モグリューユキメノコ
モ→???→???→ジ,モンジャララグラージ
モ→???→???→ミ,モグリューユキハミ
ヤ→???→???→コ,ヤナッキーキノココ
ヤ→???→???→ジ,ヤンチャムムウマージ
ヤ→???→???→ズ,ヤミラミミミズズ
ヤ→???→???→ツ,ヤミラミミュウツー
ヤ→???→???→ブ,ヤミラミミニーブ
ヤ→???→???→ユ,ヤミラミミミッキュ
ヤ→???→???→レ,ヤトウモリリグレー
ユ→???→???→キ,ユンゲラーラッキー
ユ→???→???→サ,ユキハミミガルーサ
ユ→???→???→ジ,ユンゲラーラグラージ
ユ→???→???→ニ,ユキハミミツハニー
ユ→???→???→パ,ユレイドルルンパッパ
ユ→???→???→ヒ,ユキメノココアルヒー
ユ→???→???→ブ,ユキハミミニーブ
ユ→???→???→ポ,ユキメノココオリッポ
ユ→???→???→ユ,ユキハミミミッキュ
ユ→???→???→ヨ,ユキノオーオリーニョ
ユ→???→???→ロ,ユキノオーオタマロ
ヨ→???→???→カ,ヨワシシキジカ
ヨ→???→???→ガ,ヨワシシザリガー
ヨ→???→???→ゲ,ヨーテリーリククラゲ
ヨ→???→???→ゴ,ヨワシシュバルゴ
ヨ→???→???→ズ,ヨワシシャワーズ
ヨ→???→???→ツ,ヨワシシャリタツ
ヨ→???→???→ド,ヨーテリーリザード
ヨ→???→???→ネ,ヨルノズククスネ
ヨ→???→???→ブ,ヨルノズククラブ
ヨ→???→???→ユ,ヨルノズククルマユ
ヨ→???→???→レ,ヨーテリーリグレー
ラ→???→???→ゲ,ラムパルドドククラゲ
ラ→???→???→ズ,ラムパルドドリュウズ
ラ→???→???→ゼ,ラクライイルミーゼ
ラ→???→???→テ,ラクライイシツブテ
ラ→???→???→ネ,ラッタタブンネ
ラ→???→???→バ,ラクライイダイナキバ
ラ→???→???→ブ,ラクライイオルブ
ラ→???→???→ヤ,ラムパルドドラメシヤ
ラ→???→???→ユ,ラフレシアアップリュー
ラ→???→???→ヨ,ラフレシアアマージョ
ラ→???→???→ロ,ラムパルドドラミドロ
リ→???→???→カ,リングママーイーカ
リ→???→???→ケ,リーフィアアラブルタケ
リ→???→???→ゲ,リザードドククラゲ
リ→???→???→ザ,リグレーレックウザ
リ→???→???→ズ,リザードドリュウズ
リ→???→???→ダ,リーフィアアギルダー
リ→???→???→ナ,リングママギアナ
リ→???→???→ニ,リングママケンカニ
リ→???→???→ヌ,リーフィアアシレーヌ
リ→???→???→ネ,リングママネネ
リ→???→???→バ,リグレーレディバ
リ→???→???→フ,リングママフィティフ
リ→???→???→プ,リングママホイップ
リ→???→???→ボ,リーフィアアーボ
リ→???→???→ミ,リングママダツボミ
リ→???→???→モ,リーフィアアチャモ
リ→???→???→ユ,リーフィアアップリュー
リ→???→???→ロ,リザードドラミドロ
ル→???→???→ガ,ルギアアマルルガ
ル→???→???→ク,ルギアアーボック
ル→???→???→グ,ルギアアクジキング
ル→???→???→ケ,ルギアアラブルタケ
ル→???→???→コ,ルギアアママイコ
ル→???→???→ダ,ルギアアギルダー
ル→???→???→ツ,ルギアアリゲイツ
ル→???→???→ヌ,ルギアアシレーヌ
ル→???→???→パ,ルチャブルルンパッパ
ル→???→???→ボ,ルギアアーボ
ル→???→???→ユ,ルギアアップリュー
ル→???→???→レ,ルリリリグレー
レ→???→???→カ,レドームシシキジカ
レ→???→???→ガ,レドームシシザリガー
レ→???→???→サ,レジエレキキノガッサ
レ→???→???→ズ,レドームシシャワーズ
レ→???→???→ツ,レドームシシャリタツ
レ→???→???→ニ,レディババチンウニ
レ→???→???→ネ,レジロッククスネ
レ→???→???→ベ,レジドラゴゴンベ
レ→???→???→ユ,レジロッククルマユ
レ→???→???→ヨ,レジドラゴゴニョニョ
レ→???→???→ロ,レディババンバドロ
ロ→???→???→ウ,ロゼリアアズマオウ
ロ→???→???→ガ,ロゼリアアマルルガ
ロ→???→???→ケ,ロゼリアアラブルタケ
ロ→???→???→ゲ,ロズレイドドククラゲ
ロ→???→???→ズ,ロズレイドドリュウズ
ロ→???→???→タ,ロゼリアアチゲータ
ロ→???→???→ダ,ロゼリアアギルダー
ロ→???→???→デ,ロズレイドドヒドイデ
ロ→???→???→ヌ,ロゼリアアシレーヌ
ロ→???→???→ボ,ロゼリアアーボ
ロ→???→???→モ,ロゼリアアチャモ
ロ→???→???→ヤ,ロズレイドドラメシヤ
ロ→???→???→ユ,ロゼリアアップリュー
ロ→???→???→ヨ,ロゼリアアマージョ
ロ→???→???→ロ,ロズレイドドラミドロ
ワ→???→???→カ,ワナイダーダルマッカ
ワ→???→???→ゴ,ワンリキーキバゴ
ワ→???→???→ツ,ワッカネズミミュウツー
ワ→???→???→ノ,ワンパチチラチーノ
ワ→???→???→ピ,ワンリキーキャタピー
ワ→???→???→プ,ワッカネズミミミロップ
ワ→???→???→ミ,ワッカネズミミネズミ
ワ→???→???→ワ,ワンリキーキュワワー
